"WorkOrderID","ProductID","OperationSequence","LocationID","ScheduledStartDate","ScheduledEndDate","ActualStartDate","ActualEndDate","ActualResourceHrs","PlannedCost","ActualCost","ModifiedDate"
"13","747","1","10","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.1000","92.2500","92.2500","2011-06-19 00:00:00"
"13","747","2","20","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","3.5000","87.5000","87.5000","2011-06-19 00:00:00"
"13","747","3","30","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","1.0000","14.5000","14.5000","2011-06-19 00:00:00"
"13","747","4","40","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","2.0000","31.5000","31.5000","2011-06-19 00:00:00"
"13","747","6","50","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","3.0000","36.7500","36.7500","2011-06-19 00:00:00"
"13","747","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"14","748","1","10","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.1000","92.2500","92.2500","2011-06-19 00:00:00"
"14","748","2","20","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","3.5000","87.5000","87.5000","2011-06-19 00:00:00"
"14","748","3","30","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","1.0000","14.5000","14.5000","2011-06-19 00:00:00"
"14","748","5","45","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","2.0000","36.0000","36.0000","2011-06-19 00:00:00"
"14","748","6","50","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","3.0000","36.7500","36.7500","2011-06-19 00:00:00"
"14","748","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"15","749","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"16","753","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"17","754","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"18","755","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
"19","756","7","60","2011-06-03 00:00:00","2011-06-14 00:00:00","2011-06-03 00:00:00","2011-06-19 00:00:00","4.0000","49.0000","49.0000","2011-06-19 00:00:00"
